3125,1.1250
1.06125,1.1250,1.0625,-1.3125,1.1250
351.3750,-3.6250,57.1250,351.3750,-3.6250,57.1250
351.3750,-3.5000,57.1875,351.3750,-3.5000,57.1875
351.3750,-3.5000,57.1250,351.3750,-3.5000,57.1250
351.3750,-3.5000,57.0000,351.3750,-3.5000,57.0000
351.3750,-3.5000,57.1250,351.3750,-3.5000,57.1250
351.3750,-3.5625,57.0000,351.3750,-3.5625,57.0000
351.4375,-3.5625,56.9375,351.4375,-3.5625,56.9375
351.4375,-3.5625,56.7500,351.4375,-3.5625,56.7500
351.4375,-3.5625,56.5625,351.4375,-3.5625,56.5625
351.5000,-3.5625,56.5625,351.5000,-3.5625,56.5625
351.4375,-3.6250,56.5625,351.4375,-3.6250,56.5625
351.3750,-3.6875,56.3750,351.3750,-3.6875,56.3750
351.3750,-3.6875,56.3125,351.3750,-3.6875,56.3125
351.3750,-3.6875,56.2500,351.3750,-3.6875,56.2500
351.3750,-3.6875,56.1875,351.3750,-3.6875,56.1875
351.3750,-3.6875,56.1250,351.3750,-3.6875,56.1250
351.3750,-3.6875,56.0625,351.3750,-3.6875,56.0625
351.3750,-3.6875,56.0625,351.3750,-3.6875,56.0625
351.3750,-3.6875,56.0000,351.3750,-3.6875,56.0000
351.3750,-3.6875,56.0000,351.3750,-3.6875,56.0000
351.4375,-3.6875,56.0000,351.4375,-3.6875,56.0000
351.3750,-3.6250,56.0000,351.3750,-3.6250,56.0000
351.3750,-3.6875,56.0625,351.3750,-3.6875,56.0625
351.3750,-3.6875,56.0625,351.3750,-3.6875,56.0625
351.3750,-3.6250,56.0000,351.3750,-3.6250,56.0000
351.3750,-3.6875,56.0625,351.3750,-3.6875,56.0625
351.2500,-3.6875,55.9375,351.2500,-3.6875,55.9375
351.2500,-3.6875,55.8750,351.2500,-3.6875,55.8750
351.0000,-3.7500,55.9375,351.0000,-3.7500,55.9375
350.8750,-3.8125,56.1875,350.8750,-3.8125,56.1875
350.8125,-3.8125,56.8750,350.8125,-3.8125,56.8750
350.8125,-3.8125,57.3750,350.8125,-3.8125,57.3750
350.5625,-4.0000,57.5000,350.5625,-4.0000,57.5000
350.5625,-3.9375,57.4375,350.5625,-3.9375,57.4375
350.5625,-3.9375,57.4375,350.5625,-3.9375,57.4375
350.5625,-4.0000,57.5000,350.5625,-4.0000,57.5000
350.5000,-4.0000,57.4375,350.5000,-4.0000,57.4375
350.4375,-4.0625,57.3125,350.4375,-4.0625,57.3125
350.5000,-4.0625,57.1875,350.5000,-4.0625,57.1875
350.5000,-4.0625,57.0000,350.5000,-4.0625,57.0000
350.5000,-4.0625,56.8750,350.5000,-4.0625,56.8750
350.6250,-4.0000,56.2500,350.6250,-4.0000,56.2500
350.6250,-4.0000,56.3750,350.6250,-4.0000,56.3750
350.5625,-4.0625,56.5000,350.5625,-4.0625,56.5000
350.5000,-4.0625,56.1875,350.5000,-4.0625,56.1875
350.4375,-4.1250,56.1250,350.4375,-4.1250,56.1250
350.4375,-4.1875,56.1875,350.4375,-4.1875,56.1875
